tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
609,2016-07-01 00:00:31,2016-07-01 00:10:40,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,212,W 16 St & The High Line,40.74334935,-74.00681753,15514,Customer,,0
672,2016-07-01 00:00:45,2016-07-01 00:11:57,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,347,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,15444,Subscriber,1991.0,1
472,2016-07-01 00:00:55,2016-07-01 00:08:48,319,Fulton St & Broadway,40.711065999999995,-74.009447,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,15666,Subscriber,1986.0,2
659,2016-07-01 00:02:13,2016-07-01 00:13:13,237,E 11 St & 2 Ave,40.73047309,-73.98672378,519,Pershing Square North,40.751872999999996,-73.97770600000001,25283,Subscriber,1970.0,1
275,2016-07-01 00:02:47,2016-07-01 00:07:22,511,E 14 St & Avenue B,40.72938685,-73.97772429,483,E 12 St & 3 Ave,40.73223272,-73.98889957,25912,Subscriber,1984.0,1
247,2016-07-01 00:04:30,2016-07-01 00:08:37,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,3231,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,20871,Subscriber,1989.0,1
1816,2016-07-01 00:05:26,2016-07-01 00:35:43,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,25251,Subscriber,1993.0,1
693,2016-07-01 00:06:21,2016-07-01 00:17:54,293,Lafayette St & E 8 St,40.73028666,-73.9907647,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,23602,Subscriber,1986.0,1
947,2016-07-01 00:07:32,2016-07-01 00:23:20,479,9 Ave & W 45 St,40.76019252,-73.9912551,153,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,25728,Customer,,0
244,2016-07-01 00:08:41,2016-07-01 00:12:45,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,383,Greenwich Ave & Charles St,40.735238,-74.000271,19202,Subscriber,1986.0,1
522,2016-07-01 00:10:30,2016-07-01 00:19:13,483,E 12 St & 3 Ave,40.73223272,-73.98889957,393,E 5 St & Avenue C,40.72299208,-73.97995466,20254,Subscriber,1975.0,1
290,2016-07-01 00:10:39,2016-07-01 00:15:29,3134,3 Ave & E 62 St,40.76312584,-73.96526895,3141,1 Ave & E 68 St,40.76500525,-73.95818491,22224,Subscriber,1990.0,1
578,2016-07-01 00:13:57,2016-07-01 00:23:36,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,25481,Subscriber,1990.0,1
528,2016-07-01 00:14:13,2016-07-01 00:23:01,507,E 25 St & 2 Ave,40.73912601,-73.97973776,326,E 11 St & 1 Ave,40.72953837,-73.98426726,15405,Subscriber,1993.0,2
1292,2016-07-01 00:14:54,2016-07-01 00:36:27,477,W 41 St & 8 Ave,40.75640548,-73.9900262,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,20713,Customer,,0
3551,2016-07-01 00:15:24,2016-07-01 01:14:35,457,Broadway & W 58 St,40.76695317,-73.98169333,3222,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,19396,Subscriber,1983.0,1
2419,2016-07-01 00:16:16,2016-07-01 00:56:36,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,517,Pershing Square South,40.751581,-73.97791,21483,Customer,,0
434,2016-07-01 00:17:29,2016-07-01 00:24:44,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,23830,Subscriber,1966.0,1
32936,2016-07-01 00:20:56,2016-07-01 09:29:52,3073,Division Ave & Hooper St,40.70691254,-73.95441667,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,22913,Subscriber,1992.0,2
