Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
964,2016-07-01 00:06:09,2016-07-01 00:22:14,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,24706,Subscriber,1987,1
472,2016-07-01 00:06:44,2016-07-01 00:14:37,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,24504,Subscriber,1981,2
565,2016-07-01 00:10:39,2016-07-01 00:20:05,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24655,Subscriber,1990,1
413,2016-07-01 00:17:22,2016-07-01 00:24:15,3195,Sip Ave,40.73074262530658,-74.06378388404846,3209,Brunswick St,40.7241765,-74.0506564,24446,Subscriber,1983,1
436,2016-07-01 00:37:31,2016-07-01 00:44:48,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.727595966,-74.044247311,24408,Subscriber,1988,2
344,2016-07-01 00:37:41,2016-07-01 00:43:26,3202,Newport PATH,40.7272235,-74.0337589,3214,Essex Light Rail,40.7127742,-74.0364857,24517,Subscriber,1984,1
563,2016-07-01 00:42:51,2016-07-01 00:52:14,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958611647166,-74.04311746358871,24421,Subscriber,1991,1
149,2016-07-01 00:47:16,2016-07-01 00:49:45,3195,Sip Ave,40.73074262530658,-74.06378388404846,3194,McGinley Square,40.7253399253558,-74.06762212514877,24631,Customer,,0
2693,2016-07-01 00:57:05,2016-07-01 01:41:59,3207,Oakland Ave,40.7376037,-74.0524783,3207,Oakland Ave,40.7376037,-74.0524783,24443,Customer,,0
2688,2016-07-01 00:57:07,2016-07-01 01:41:55,3207,Oakland Ave,40.7376037,-74.0524783,3207,Oakland Ave,40.7376037,-74.0524783,24512,Customer,,0
1823,2016-07-01 01:11:14,2016-07-01 01:41:38,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3213,Van Vorst Park,40.71848892,-74.047726625,24421,Subscriber,1965,1
503,2016-07-01 01:14:20,2016-07-01 01:22:43,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24560,Subscriber,1954,1
401,2016-07-01 01:16:17,2016-07-01 01:22:58,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.727595966,-74.044247311,24699,Subscriber,1984,1
386,2016-07-01 01:16:22,2016-07-01 01:22:49,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,24694,Subscriber,1958,2
588,2016-07-01 01:21:12,2016-07-01 01:31:01,3185,City Hall,40.7177325,-74.043845,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,24516,Subscriber,1988,1
421,2016-07-01 01:21:48,2016-07-01 01:28:50,3195,Sip Ave,40.73074262530658,-74.06378388404846,3193,Lincoln Park,40.7246050998869,-74.07840594649315,24396,Subscriber,1991,2
404,2016-07-01 01:28:53,2016-07-01 01:35:38,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3194,McGinley Square,40.7253399253558,-74.06762212514877,24645,Subscriber,1987,1
1010,2016-07-01 01:32:36,2016-07-01 01:49:26,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24528,Subscriber,1954,1
903,2016-07-01 02:10:20,2016-07-01 02:25:23,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3213,Van Vorst Park,40.71848892,-74.047726625,24550,Subscriber,1972,1
